Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.66,2.37,2.534,2.64,2.664,2.53,2.1,1.8,1.81,1.98,2.08,2.18
Water requirement (mm/day),1.064,0.948,1.0136,1.056,1.0656,1.012,0.84,0.72,0.724,0.792,0.832,0.872
Water requirement litres/day/ha ,10640,9480,10136,10560,10656,10120,8400,7200,7240,7920,8320,8720
Water requirement litres/palm/day in an ha,74.40559,66.29371,70.88112,73.84615,74.51748,70.76923,58.74126,50.34965,50.62937,55.38462,58.18182,60.97902
Water requirement litres/palm/day in an ha at 70% field capacity,52.08392,46.40559,49.61678,51.69231,52.16224,49.53846,41.11888,35.24476,35.44056,38.76923,40.72727,42.68531
